"ADAMS"	[445609.2299999993, 29724.989999999834, 7827.070000000184]
"APPANOOSE"	[4006412.100000128, 278349.2999999983, 73443.44999998798]
"Adair"	[2611544.349999958, 207030.03999999948, 54657.089999983575]
"BREMER"	[8654675.139999775, 645389.4299999833, 170278.69999998168]
"Black Hawk"	[73977877.54000887, 5111969.0799988955, 1350598.719998164]
"CARROLL"	[11041374.01000042, 764069.0299999954, 201646.85999998442]
"CLARKE"	[2966162.769999982, 207509.29000000004, 54731.52999999656]
"CRAWFORD"	[6210339.769999942, 423912.7799999924, 111878.51999998708]
"Carroll"	[10659638.160000736, 805645.0200000026, 212829.6700000263]
"Cherokee"	[3346227.2500000307, 270983.3000000002, 71584.92999997998]
"DECATUR"	[763029.4800000023, 51434.36000000021, 13564.260000000571]
"Decatur"	[761506.5999999975, 56088.65000000029, 14820.890000000012]
"Emmet"	[2873364.429999974, 238143.61000000042, 62911.739999985286]
"Howard"	[3193934.8899999443, 263784.5400000011, 69688.3399999889]
"Humboldt"	[2946332.8500000425, 241758.9200000024, 63839.29999997822]
"Jackson"	[5645487.93000022, 448112.7499999961, 118369.73999996792]
"LINN"	[118857052.90997002, 7772153.349997439, 2050869.9799997178]
"LYON"	[3241634.6000000215, 233156.98999999595, 61472.819999983854]
"Louisa"	[1041740.1099999974, 78875.87000000043, 20843.700000001227]
"MONROE"	[1681541.2499999937, 118822.34000000014, 31348.46999999939]
"PALO ALTO"	[3100449.690000037, 233993.66999999815, 61685.299999983596]
"PLYMOUTH"	[5193740.669999904, 358236.03999999457, 94506.70999997828]
"Poweshiek"	[6435316.6700000195, 472533.6099999955, 124791.33999995439]
"Scott"	[90717856.80999759, 6040383.2599984165, 1595937.8499944755]
"Shelby"	[3261877.209999955, 246630.21, 65152.129999987024]
"UNION"	[4839358.4499999825, 329815.059999992, 87011.45999997626]
"WINNEBAGO"	[3360640.8899999955, 262994.9899999991, 69377.12999998647]
"AUDUBON"	[735769.509999995, 59784.12000000006, 15755.520000001043]
"BLACK HAWK"	[75228994.47999759, 4707764.629999592, 1242138.9300001038]
"Buena Vista"	[7976689.770000458, 589727.3999999824, 155776.88999995514]
"Chickasaw"	[1721090.1999999487, 152414.12000000005, 40258.72999999645]
"DICKINSON"	[18209294.89000156, 1249995.3400000345, 329873.1400001602]
"Des Moines"	[16981379.900002625, 1187166.6000000162, 313634.6400002345]
"FLOYD"	[5405435.809999852, 384867.64999998483, 101552.85999998392]
"FRANKLIN"	[2217067.579999963, 166333.14000000135, 43862.289999993605]
"Guthrie"	[1314006.4899999923, 104398.24999999999, 27568.040000002704]
"HUMBOLDT"	[3501992.5500001097, 259235.99000000156, 68408.56999998832]
"Jasper"	[7925529.159999979, 627967.1900000044, 165897.9600000012]
"Jefferson"	[3745595.4799999646, 271800.13999999984, 71810.4099999845]
"Jones"	[4971001.780000354, 420346.65999999736, 111046.85999995675]
"Mills"	[1990951.269999975, 160676.65000000066, 42448.229999994546]
"Monroe"	[1381723.369999976, 106382.47999999952, 28101.530000001243]
"Montgomery"	[2761706.5199999753, 214800.11000000176, 56740.28999998348]
"POWESHIEK"	[6678072.259999728, 454042.7399999795, 119715.56999995359]
"RINGGOLD"	[634763.0100000056, 47914.71000000005, 12638.070000000702]
"Tama"	[2758497.639999935, 224195.82000000158, 59222.80999998629]
"WASHINGTON"	[7848138.540000137, 510469.389999974, 134653.82999996413]
"Washington"	[6322226.230000039, 439139.929999995, 116025.2699999876]
"Wayne"	[482306.4899999968, 37698.54999999999, 9952.020000000442]
"Worth"	[1031936.4200000016, 86013.49999999993, 22710.450000001278]
