"A HARDY USA LTD"	[27181.949999999975, 1184.25]
"A Hardy / U.S.A., Ltd."	[65126.57999999999, 2796.75]
"ASDSpirits, LLC"	[10093.480000000007, 73.5]
"Artisan Grain Distillery"	[13251.350000000017, 551.25]
"BENDISTILLERY"	[901.74, 31.5]
"BLAUM BROTHERS DISTILLING CO"	[36890.25, 807.75]
"Bacmar International"	[607.6800000000001, 27.0]
"Bad Bear Enterprises"	[52779.99999999985, 1500.0]
"Black Sea Imports, Inc"	[306.0, 9.0]
"Bom Dia Imports LLC"	[276.12, 9.0]
"CEDAR RIDGE VINEYARDS LL"	[7907151.15000015, 210286.25000000084]
"CONSTELLATION BRANDS INC"	[71019822.76002418, 6660183.399997669]
"COOPER SPIRITS INTERNATIONAL"	[146471.35999999905, 5629.949999999999]
"Campari(skyy)"	[13141835.100003218, 613201.6599999995]
"Castle Brands"	[762548.619999994, 24220.25]
"Cedar Ridge Vineyards,LLC"	[5144818.039999965, 148326.31999999972]
"DAVOS BRANDS LLC"	[115289.77999999929, 3995.75]
"DUGGANS DISTILLERS"	[105599.69000000048, 5034.6900000000005]
"Dorado, Pizzorni & Sons, LLC"	[5802.0, 76.5]
"Dry Fly Distilling"	[3223.8800000000006, 84.0]
"H A P LLC"	[5007.119999999999, 171.0]
"HAAS BROTHERS"	[3351.0, 136.5]
"Heavenly Spirits LLC"	[810.0, 9.0]
"Intersect Beverage LLC"	[531.36, 12.0]
"JEM Beverage Company"	[848858.999999995, 44348.75000000106]
"John Ernest Distillery, Inc."	[96180.0, 7161.0]
"Klin Spirits, LLC"	[20186.19000000004, 764.25]
"LEVECKE CORP"	[20445.989999999943, 1108.5]
"MADIKWE USA INC"	[10086.200000000006, 426.75]
"MARSALLE COMPANY"	[109258.04999999962, 3352.529999999998]
"MHW Ltd"	[20572584.120000634, 796902.7499999993]
"MPL Brands NV Inc"	[209230.55999999994, 8976.0]
"Mango Bottling"	[223941.72000000073, 9371.070000000253]
"Marsalle Company/Stoller Warehouse"	[10209.239999999998, 408.0]
"Mast-Jagermeister US, Inc"	[15479263.910004135, 625213.3599999571]
"Meisenburg Brewing & Distilling"	[8370.0, 92.25]
"Moet Hennessy USA, Inc."	[21957059.160007406, 555407.5099999354]
"Mountain Laurel Spirits LLC"	[420.0, 9.0]
"Nestor Imports, Inc."	[211.56, 9.0]
"New Holland Brewing Company, LLC"	[1079.64, 27.0]
"Niche Import Co."	[142584.9200000001, 4517.25]
"Old Sugar Distillery"	[414.0, 9.0]
"PALM BAY INTERNATIONAL"	[80152.05999999958, 1985.75]
"PROXIMO"	[47245909.46992178, 3296141.0500005544]
"Pennsylvania Pure Distilleries, LLC"	[306.0, 9.0]
"Philly's Premium Beverages LLC"	[123.06, 4.5]
"QUADRO GROUP LLC"	[15204.300000000007, 546.75]
"RJ Importers LLC"	[1155.8400000000001, 63.0]
"SPIRIT OF HARTFORD"	[26660.359999999953, 525.5]
"STE MICHELLE WINE ESTATES"	[11634.55999999999, 492.0]
"Sage Beverages"	[7801.560000000001, 342.6]
"San Luis Spirits, Inc."	[2246.22, 67.5]
"Sovereign Brands"	[232.56, 9.0]
"Stephen Augustus Imports"	[9830.710000000001, 228.0]
"Stolller Warehouse"	[9051.48, 348.0]
"Strong Spirits Distilling"	[7615.310000000002, 306.75]
"The House of Burgundy Inc"	[324.0, 9.0]
"The Patron Spirits Company"	[16248268.59999916, 311716.099999971]
"Vital Beverages"	[1860.0, 36.0]
"WILLIAM GRANT AND SONS, INC."	[9192512.600000622, 373496.71999999933]
"Werner Distilling, LLC"	[36876.259999999784, 1803.0]
"Wilson Daniels Ltd."	[14843287.069994988, 495645.4399999956]
"Yahara Bay Distillers, Inc"	[431615.5699999997, 5685.339999999994]
"A V BRANDS INC"	[983.58, 23.700000000000003]
"Aha Toro Spirits Inc"	[2047.6799999999998, 40.5]
"BRECKENRIDGE DISTILLERY"	[57294.47999999999, 1012.5]
"Bacardi U.S.A., Inc."	[66724873.81002985, 3570126.870000221]
"Bendistillery"	[1388.0400000000002, 54.0]
"Black Dirt Distillery"	[202.5, 4.5]
"Boffo Brands, LLC"	[1978.8, 85.5]
"Broadslab Distillery"	[124.38, 4.5]
"Caffo Beverages Inc"	[1779.6, 54.0]
"Carriage House Imports, Ltd."	[11176.260000000002, 265.5]
"Chatham Imports,inc"	[55963.14999999976, 1202.25]
"Churchill Vineyards"	[342.0, 9.0]
"Classic Wine Imports"	[7840.579999999999, 250.5]
"Clear Creek Distillery"	[5682.599999999999, 112.5]
"Cooper's Chase Distillery"	[12354.270000000026, 607.6500000000007]
"Cooperspiritsinternational"	[71314.01000000001, 2925.75]
"DC Beverage LLC"	[432.0, 9.0]
"DIAGEO AMERICAS"	[291096362.52002513, 13788339.149989491]
"DUNKEL CORPORATION"	[1251609.2900000566, 67188.00000000032]
"Domaine Select Wine Estates"	[264.06, 18.0]
"Drinks Americas"	[14086.519999999939, 214.8000000000005]
"Drum Circle Distilling, LLC"	[432.0, 13.5]
"Duggan's Distillers Products Corp"	[132482.67000000013, 4793.25]
"Flemish Lion LLC"	[625.6800000000001, 13.5]
"Fredrick Wildman & Son"	[140626.87999999968, 2373.75]
"Global Beverage Team, LLC"	[600.06, 9.0]
"Hawaii Sea Spirits LLC"	[67815.0, 2239.6000000000004]
"High West Distillery, LLC"	[5891.760000000002, 103.5]
"Homestead American Whiskey"	[62694.0, 1458.0]
"Hood River Distillers"	[101563.84999999989, 1765.0]
"Hood River Distillers, Inc."	[1351443.8400000425, 50838.27999999991]
"Iconic Brands, Inc."	[185.58, 4.5]
"Indio Spirits Inc"	[2895.75, 112.5]
"Itsko Imports Inc"	[1734.06, 36.0]
"JINRO AMERICA INC"	[40541.62, 2819.62]
"Jackson Hole Still Works"	[12416.25, 363.75]
"Jinro America, Inc"	[26315.28, 1854.0]
"Journeyman Distillery LLC"	[213.06, 4.5]
"KINDRED SPIRIT N AMERICA"	[1710.7199999999998, 54.0]
"KOVAL DISTILLERY"	[7749.0, 153.0]
"Kobrand Corp"	[26308.679999999997, 951.0]
"Koloa Rum Company"	[7317.120000000002, 168.0]
"Lloyd Caruso LLC"	[346.68, 9.0]
"Luxco-St Louis"	[86787753.0301534, 11724218.589999476]
"MISA Imports Inc"	[3360169.2000000007, 262422.20999999996]
"MS WALKER INC"	[6103.9800000000005, 171.0]
"Mach Flynt Inc."	[589567.6799999997, 36288.0]
"Mccormick Distilling Company"	[14428472.999997683, 1894145.0000003597]
"National Brokers"	[2744.8199999999997, 207.0]
"North Shore Distillery, LLC."	[2928.7799999999997, 63.0]
"OLE SMOKY DISTILLERY LLC"	[1127348.8300000136, 44897.50000000057]
"Old Elk Distilleries LLC"	[86835.24000000002, 2210.25]
"PERNOD RICARD USA"	[98286292.5396852, 4459625.900000683]
"Park Street Imports"	[1470454.1200000576, 49286.549999999945]
"Park Street Imports- Caballeros"	[9170.100000000002, 202.5]
"Park Street Imports-Duke Spirits"	[16335.680000000002, 426.0]
"Park Street Imports-House Spirits"	[1454.04, 45.0]
"Park Street Imports-Sweet Revenge"	[3435.8400000000006, 166.5]
"Paterno Imports LTD"	[72787.82999999961, 2358.75]
"Paterno Imports, Ltd."	[10997.46, 301.5]
"Phillips Beverage"	[26262659.77000572, 2731962.720000044]
"REMY COINTREAU USA         ."	[8435699.890000956, 213538.8499999915]
"Rebecca Creek Distillery LLC"	[1827.19, 48.75]
"Restless Spirits Distilling Company, LLC"	[40862.46000000004, 1108.5]
"S&B Farms Distillery"	[391566.73999999627, 14820.0]
"ST GEORGE SPIRITS INC"	[24050.76, 655.2]
"SURVILLE ENTERPRISES CORP"	[19047.989999999998, 444.0]
"Shaw Ross International Importers LL"	[336659.1499999971, 21861.75]
"Southern Italy Imports"	[7350.75, 669.75]
"Southwest Spirits & Wine, LLC"	[20184.0, 630.75]
"Speakeasy Spirits, LLC"	[12083.020000000008, 550.75]
"Spirit Imports Inc"	[2029.44, 72.0]
"Stellar Importing Company, LLC"	[1477.1200000000003, 83.25]
"Stillworks LLC"	[1386.0, 40.5]
"Tanteo Tequila"	[402.0, 9.0]
"Tenn South Distillery / Big Machine Distillery"	[211.08, 4.5]
"The Wine Group"	[43530.77000000001, 2904.0]
"Trinchero Family Estates"	[151037.54999999914, 4995.75]
"USA Wine West, LLC"	[18318.75, 732.75]
"Van Brunt Stillhouse"	[313.56, 4.5]
"Van Gogh Imports"	[118.8, 4.5]
"Vision Wine & Spirit LLC"	[77706.10000000015, 1662.0]
"W J Deutsch & Sons LTD"	[573845.8500000096, 18083.25]
"WESTERN SPIRITS BEVERAGE"	[2208180.709999911, 106111.9000000049]
"WILSON DANIELS LTD"	[22895.460000000003, 360.6699999999999]
"White Rock Distilleries, Inc."	[3890.279999999999, 324.75]
"Whyte and Machay(Americas) Limited,L"	[68334.65000000005, 1545.75]
"Worldwide Libations, LLC"	[149336.18999999872, 4791.69]
"3 Badge Mixology"	[61074.419999999576, 1281.0]
"AMERICAN VINTAGE BEVERAGE"	[72293.51999999928, 11154.5]
"Aiko Importers Inc"	[47137.12999999986, 1018.5500000000004]
"American Vintage Beverage"	[35441.76000000015, 5498.5]
"BACARDI USA INC"	[58111288.600025095, 2887700.1300002555]
"Barrel House Distilling Co."	[207.0, 9.0]
"Boot Hill Distillery LLC"	[342.0, 9.0]
"Breckenridge Distillery"	[20163.0, 405.0]
"Broadbent Distillery"	[182201.9999999994, 6563.1700000000055]
"Brown Forman Corp."	[71475455.41995928, 2491352.530000586]
"BuzzBox Beverages"	[687.36, 24.0]
"CVI Brands"	[21551.760000000002, 351.0]
"Campari America"	[4039827.1200000066, 149039.62999999846]
"DEHNER DISTILLERY"	[2002997.3500000238, 317769.889999998]
"Dakota Spirits Distillery"	[2707.4, 120.0]
"Demerara Distillers (USA) Inc."	[15499.98, 346.5]
"Diageo Americas"	[272790784.6591051, 14393777.559995862]
"Dilawri Barrels LLC"	[14893.5, 327.75]
"Dreyfus, Ashby Co."	[2817.42, 49.5]
"E & J Gallo Winery"	[27219873.990003202, 1872266.7100010316]
"E AND J GALLO WINERY"	[18470056.82999832, 1387764.2900002613]
"Edrington Group USA LLC"	[2710999.400000073, 51156.460000000014]
